,Air Power,Cadence,Form Power,Ground Time,Leg Spring Stiffness,Power,Vertical Oscillation
15038,0.0,79.0,108.0,306.0,13.625,325.0,7.375
15039,0.0,79.0,108.0,302.0,13.625,331.0,7.375
15040,0.0,79.0,109.0,302.0,13.625,332.0,7.375
15041,0.0,79.0,109.0,304.0,13.5,331.0,7.375
15042,0.0,79.0,109.0,306.0,13.5,330.0,7.375
15043,0.0,78.0,109.0,308.0,13.375,331.0,7.375
15044,0.0,78.0,109.0,312.0,13.375,329.0,7.375
15045,0.0,78.0,109.0,312.0,13.25,329.0,7.25
15046,0.0,78.0,108.0,312.0,13.25,322.0,7.125
15047,0.0,78.0,108.0,316.0,13.25,324.0,7.125
15048,0.0,78.0,108.0,316.0,13.25,324.0,7.125
15049,0.0,79.0,107.0,316.0,13.25,341.0,7.125
15050,1.0,79.0,107.0,298.0,13.5,347.0,7.375
15051,1.0,80.0,107.0,292.0,13.75,353.0,7.5
15052,1.0,80.0,107.0,286.0,13.75,359.0,7.5
15053,1.0,80.0,109.0,286.0,13.875,365.0,7.625
15054,1.0,80.0,110.0,280.0,14.0,371.0,7.75
15055,1.0,80.0,110.0,282.0,14.0,369.0,7.75
15056,1.0,80.0,111.0,282.0,13.875,369.0,7.75
15057,1.0,80.0,113.0,286.0,13.75,368.0,7.75
15058,1.0,80.0,113.0,286.0,13.625,367.0,7.625
15059,0.0,80.0,113.0,288.0,13.625,367.0,7.5
15060,0.0,80.0,113.0,288.0,13.625,367.0,7.5
15061,0.0,80.0,113.0,290.0,13.625,363.0,7.375
15062,0.0,80.0,112.0,290.0,13.625,360.0,7.25
15063,0.0,80.0,112.0,292.0,13.625,357.0,7.375
15064,0.0,80.0,110.0,292.0,13.5,357.0,7.375
15065,0.0,80.0,110.0,294.0,13.625,357.0,7.25
15066,0.0,80.0,110.0,294.0,13.5,358.0,7.375
15067,1.0,80.0,110.0,296.0,13.5,357.0,7.375
15068,1.0,80.0,110.0,298.0,13.375,356.0,7.375
15069,0.0,80.0,110.0,300.0,13.375,352.0,7.375
15070,0.0,79.0,110.0,300.0,13.25,349.0,7.375
15071,0.0,79.0,110.0,304.0,13.25,344.0,7.375
15072,0.0,78.0,110.0,308.0,13.125,340.0,7.25
15073,0.0,78.0,109.0,312.0,13.25,332.0,7.25
15074,0.0,78.0,109.0,314.0,13.125,328.0,7.25
15075,0.0,78.0,108.0,314.0,13.125,322.0,7.375
15076,0.0,78.0,108.0,316.0,13.125,322.0,7.25
15077,0.0,77.0,108.0,322.0,13.125,315.0,7.25
15078,0.0,77.0,108.0,320.0,13.125,320.0,7.25
15079,0.0,77.0,107.0,316.0,13.125,325.0,7.125
15080,0.0,77.0,107.0,308.0,13.125,333.0,7.125
15081,0.0,79.0,107.0,302.0,13.5,340.0,7.375
15082,0.0,80.0,107.0,294.0,13.75,348.0,7.375
15083,0.0,80.0,107.0,288.0,14.0,354.0,7.375
15084,0.0,80.0,107.0,288.0,14.0,354.0,7.5
15085,0.0,80.0,109.0,288.0,14.375,364.0,7.5
15086,0.0,80.0,110.0,280.0,14.5,367.0,7.625
15087,0.0,80.0,110.0,280.0,14.5,367.0,7.5
15088,0.0,81.0,112.0,280.0,14.25,370.0,7.375
15089,0.0,81.0,112.0,282.0,14.125,374.0,7.375
15090,0.0,81.0,112.0,282.0,14.125,379.0,7.375
15091,0.0,82.0,112.0,282.0,13.875,384.0,7.375
15092,0.0,82.0,112.0,282.0,13.875,384.0,7.375
15093,0.0,82.0,111.0,282.0,13.875,384.0,7.375
15094,0.0,81.0,111.0,282.0,13.75,381.0,7.25
15095,0.0,81.0,111.0,284.0,13.75,381.0,7.375
15096,0.0,81.0,111.0,286.0,13.75,377.0,7.25
15097,0.0,81.0,111.0,286.0,13.75,377.0,7.25
15098,0.0,81.0,111.0,286.0,13.75,377.0,7.25
15099,0.0,81.0,111.0,286.0,13.875,375.0,7.25
15100,0.0,82.0,110.0,286.0,13.5,378.0,7.125
15101,0.0,82.0,110.0,284.0,13.5,378.0,7.125
15102,0.0,82.0,110.0,284.0,13.625,375.0,7.125
15103,1.0,82.0,110.0,282.0,13.625,372.0,7.125
15104,1.0,82.0,109.0,282.0,13.75,374.0,7.0
15105,1.0,82.0,109.0,282.0,13.625,374.0,7.0
15106,1.0,82.0,109.0,282.0,13.875,368.0,7.0
15107,2.0,82.0,109.0,280.0,13.875,368.0,7.0
15108,2.0,82.0,109.0,280.0,13.875,368.0,7.0
15109,2.0,82.0,109.0,280.0,13.75,368.0,7.125
15110,2.0,82.0,109.0,280.0,13.875,368.0,7.125
15111,2.0,82.0,109.0,280.0,13.875,368.0,7.125
15112,2.0,82.0,109.0,278.0,13.625,368.0,7.125
15113,2.0,82.0,109.0,280.0,13.625,368.0,7.25
15114,1.0,82.0,109.0,280.0,13.625,366.0,7.25
15115,1.0,82.0,110.0,280.0,13.625,362.0,7.25
15116,1.0,82.0,110.0,280.0,13.5,362.0,7.125
15117,1.0,82.0,110.0,284.0,13.375,361.0,7.125
15118,1.0,82.0,110.0,284.0,13.5,358.0,7.125
15119,1.0,82.0,110.0,284.0,13.625,356.0,7.25
15120,2.0,82.0,110.0,280.0,13.75,357.0,7.125
15121,2.0,82.0,110.0,280.0,13.625,361.0,7.125
15122,1.0,82.0,110.0,280.0,13.625,363.0,7.125
15123,1.0,82.0,110.0,280.0,13.625,362.0,7.125
15124,2.0,82.0,110.0,278.0,13.625,361.0,7.125
15125,1.0,82.0,110.0,278.0,13.625,362.0,7.125
15126,1.0,82.0,110.0,276.0,13.625,362.0,7.125
15127,1.0,82.0,110.0,276.0,13.375,360.0,7.125
15128,1.0,83.0,110.0,278.0,13.5,356.0,7.125
15129,1.0,83.0,110.0,280.0,13.625,353.0,7.25
15130,1.0,82.0,110.0,280.0,13.875,348.0,7.25
15131,1.0,82.0,110.0,280.0,14.0,346.0,7.25
15132,1.0,82.0,110.0,280.0,14.0,345.0,7.25
15133,1.0,82.0,110.0,282.0,14.0,342.0,7.25
15134,1.0,82.0,110.0,284.0,14.0,341.0,7.25
15135,1.0,81.0,110.0,284.0,13.875,341.0,7.25
15136,1.0,82.0,110.0,284.0,13.875,342.0,7.125
15137,1.0,82.0,110.0,284.0,13.875,342.0,7.125
15138,1.0,82.0,110.0,284.0,13.75,343.0,7.25
15139,1.0,82.0,110.0,284.0,13.75,341.0,7.25
15140,1.0,82.0,110.0,284.0,14.0,342.0,7.125
15141,1.0,82.0,110.0,286.0,14.0,343.0,7.125
15142,1.0,82.0,110.0,286.0,14.0,349.0,7.125
15143,1.0,81.0,110.0,288.0,13.875,353.0,7.125
15144,1.0,81.0,110.0,288.0,13.875,353.0,7.125
15145,1.0,81.0,110.0,288.0,13.875,353.0,7.125
15146,1.0,82.0,109.0,294.0,13.5,364.0,6.875
15147,1.0,82.0,109.0,294.0,13.5,369.0,6.875
15148,1.0,82.0,108.0,294.0,13.625,369.0,6.875
15149,1.0,81.0,107.0,292.0,13.75,367.0,6.75
15150,1.0,82.0,107.0,292.0,13.75,362.0,6.75
15151,1.0,82.0,107.0,292.0,13.875,361.0,6.875
15152,1.0,81.0,106.0,292.0,13.75,360.0,6.875
15153,1.0,81.0,106.0,292.0,13.75,363.0,6.875
15154,1.0,81.0,106.0,294.0,13.75,364.0,6.875
15155,1.0,81.0,106.0,294.0,13.5,364.0,6.75
15156,2.0,81.0,106.0,296.0,13.5,361.0,6.75
15157,2.0,81.0,106.0,296.0,13.5,360.0,6.875
15158,2.0,81.0,106.0,298.0,13.75,359.0,6.75
15159,1.0,81.0,106.0,298.0,13.875,354.0,6.75
15160,1.0,81.0,106.0,298.0,13.75,350.0,6.75
15161,1.0,82.0,106.0,298.0,13.875,344.0,6.75
15162,1.0,82.0,106.0,298.0,13.875,341.0,6.75
15163,1.0,81.0,105.0,296.0,14.0,339.0,6.75
15164,1.0,81.0,105.0,296.0,14.0,338.0,6.625
15165,1.0,82.0,105.0,296.0,13.875,340.0,6.625
