,autocorr_bike
0,0.8611602465782442
1,0.8641745026473607
2,0.9087901956059838
3,0.9264746716115654
4,0.959428555540313
5,0.9306722851188993
6,0.9408885354297529
7,0.968318498920291
8,0.9514411110256799
9,0.9414715446761358
10,0.9077968774875217
11,0.9229770342610306
12,0.9170323819000137
13,0.9280243447841139
14,0.8924717921814564
15,0.9073122466559981
16,1.0
17,0.9539106271036428
18,0.9446132298784603
19,0.9266375045279768
20,0.914307508255841
21,0.9169026045290163
22,0.9232137840225976
23,0.9776888820340828
24,0.9683473685923983
25,0.9684783269308682
26,0.9207214162589851
27,0.9312233735500903
28,0.9588157158251224
29,0.9471923288414338
30,0.9540190597150096
31,0.9404155948794121
32,0.9113808569326842
33,0.9441095082134602
34,0.8871723104281165
35,0.9129292829954988
36,0.9141511177053937
37,0.9545820009377771
38,0.9166757840846229
39,0.9145211768254258
40,0.9254266511158935
41,0.9321149657344643
42,0.9321937309869991
43,0.9159866874228838
44,0.927891670987686
45,0.8804511954976344
46,0.9141410221103351
47,0.9617746786055433
48,0.9376269934394514
49,0.9806568011806556
50,0.9249959836662203
51,0.9393762994466438
52,0.899329226467202
53,0.8764920100485569
54,0.938929809097396
55,0.9536180120616204
56,0.9066129735287958
57,0.930205432678652
58,0.9345122838051889
59,0.9464452497544757
60,0.9074372489075079
61,0.8634347766324081
62,0.888295825842267
63,0.9099257782462402
64,0.9036801662825004
65,0.898131098707801
66,0.9294092857099772
67,0.9032652043898861
68,0.9025737088896851
69,0.8998585753855314
70,0.9458635204101918
71,0.8733354576871262
72,0.8792533483168565
73,0.8667919283998108
74,0.9006368969963098
75,0.8849306020843469
76,0.8620635585805122
77,0.9671771482112759
78,0.9618806175092763
79,0.8884171070571135
80,0.9057859468087961
81,0.9009883598719246
82,0.8832877603515166
83,0.8798453953975474
84,0.9081528737250903
85,0.9705676724084803
86,0.8855438459705861
87,0.8783812983138439
88,0.8868783313597646
89,0.8774977248614176
90,0.8553451405774581
91,0.882207955480211
92,0.8964795599955223
93,0.875431444474824
94,0.8932127606319675
95,0.8435128373211813
96,0.883950177006045
97,0.8843932852467892
98,0.8983617390796123
99,0.856902473389211
100,0.8442828763584956
101,0.8519028457891678
102,0.874686280256082
103,0.855693004723757
104,0.8845517645587533
105,0.8283737367608112
106,0.8754288048695957
107,0.8768333339599824
108,0.8300043064171713
109,0.8685874179792296
110,0.8194529405576657
111,0.8210933405124808
112,0.8688677675785655
113,0.8104719264567354
114,0.8467003465752386
115,0.8045139940914101
116,0.9121684943844073
117,0.8703653446310623
118,0.8729713896674328
119,0.8560790371359946
120,0.7893596569199517
121,0.8574861134887256
122,0.8704258666538459
123,0.8756843192483466
124,0.8210467903947868
125,0.8560932736101466
126,0.8493565279990215
127,0.8224042620647268
128,0.7939557567318198
129,0.8842513048517497
130,0.8306771424408539
131,0.7916851719103268
132,0.8420208663754516
133,0.8396528564410253
134,0.836961892497517
135,0.8536788588139916
136,0.807367001741008
137,0.8244231169462372
138,0.8653643014607728
139,0.8269221977247806
140,0.8575633538332772
141,0.8225048678194188
142,0.8224078277859774
143,0.7817273708463397
144,0.8259621782309108
145,0.8771236868096652
146,0.8632085843412002
147,0.799654806093164
148,0.8029132554138652
149,0.8307976788400132
150,0.8165821303653511
151,0.8316660813519975
152,0.846807575056638
153,0.8264795152327128
154,0.7990538261049575
155,0.782480206004941
156,0.8107375416512929
157,0.8205271498477913
158,0.7657477223689693
159,0.804960013566149
160,0.7763541711883121
161,0.796124360040234
162,0.8411932627847765
163,0.8474623764665984
164,0.8706182108843095
165,0.811563751889146
166,0.8321983555487971
167,0.8053245424795106
168,0.7746124871892603
169,0.7906989202053437
170,0.7953206285646911
171,0.7781052609765231
172,0.7864469264277648
173,0.8039440126923454
174,0.8045227887167509
175,0.76120060357625
176,0.7692835610337218
177,0.8143959031621344
178,0.8136870449141888
179,0.7668980540123573
180,0.7657835049378855
181,0.8305386024179379
182,0.8249196087422933
183,0.8184208056343044
184,0.7897948122236957
185,0.7669904367861476
186,0.7974471971427078
187,0.8304972855311934
188,0.7947260217620595
189,0.7899459833701283
190,0.7693828117960217
191,0.7655536781325699
192,0.7780509021961631
193,0.8135544292552458
194,0.777035905098824
195,0.8128754649622986
196,0.7484859921713004
197,0.7333572995935119
198,0.8083676948052363
199,0.7795821507088415
200,0.7631308117046898
201,0.7639133966335211
202,0.8147066259778067
203,0.7728090952314682
204,0.7739707834084186
205,0.7376113998568281
206,0.742553991913672
207,0.8018251657828095
208,0.7708573964878497
209,0.7734202675649124
210,0.7440279496478245
211,0.792155159135304
212,0.7582884506402365
213,0.7429660976661648
214,0.7546769895197696
215,0.7714260589370555
216,0.7428700924887242
217,0.7361766840730121
218,0.7629936614809747
219,0.7421690148620325
220,0.8000034376125855
221,0.7576189947965275
222,0.752326665765348
223,0.7343052037814035
224,0.7377926162923027
225,0.7709118305266761
226,0.7252964130000296
227,0.8100358141585179
228,0.767209006804156
229,0.758747653155235
230,0.7596620120893992
231,0.7877136728966502
232,0.7731513697924058
233,0.7350235698790103
234,0.7449634415558527
235,0.7286506594817216
236,0.7295269910388426
237,0.7599074710304375
238,0.7218554179786382
239,0.725599898159506
240,0.7094825203210366
241,0.7490585612825321
242,0.7530084495508174
243,0.7229374237752737
244,0.7571105951515766
245,0.7539514979261321
246,0.6827862416928389
247,0.728721220802866
248,0.7601792329460195
249,0.7513751631022294
250,0.7029244777466112
251,0.7226537686548483
252,0.7455235895269386
253,0.6763510586259454
254,0.717908302839491
255,0.7215722810777297
256,0.694770463093857
257,0.7430848964319838
258,0.7145025467821549
259,0.7085371899781547
260,0.7559684310478924
261,0.6956279781041727
262,0.7212361841857413
263,0.7558794158262981
264,0.7129203221972005
265,0.6842673098932677
266,0.7359347747540885
267,0.739231109449691
268,0.7211015931264291
269,0.7434035288575702
270,0.7017129841476679
271,0.7035819571185706
272,0.7459666159558614
273,0.7060004337660323
274,0.7313419784068181
275,0.6855353384084922
276,0.7039363439455347
277,0.7114904482710682
278,0.7252582092838269
279,0.6602461765462838
280,0.6702682117235217
281,0.7298354839445291
282,0.7393603988233741
283,0.7389397478550569
284,0.6793645524110742
285,0.6769692979724491
286,0.7331505543604034
287,0.6734077114543614
288,0.7335969066029644
289,0.6843490451168676
290,0.7118743729984047
291,0.7246365982721403
292,0.705715133355155
293,0.7307562134100231
294,0.7493069701580051
295,0.7152669765831758
296,0.715956718654356
297,0.6458806997958143
298,0.6839549247886376
299,0.7000138677828025
300,0.7142318870603481
301,0.6743875772125547
302,0.7045401411138527
303,0.7454326175669531
304,0.64857285695069
305,0.7166773788336337
306,0.6856179756898977
307,0.6385667307221402
308,0.7110515077077904
309,0.6704184874459337
310,0.6379263105706763
311,0.727096316544216
312,0.6931464399167945
313,0.6747127682790756
314,0.6750167661795835
315,0.6490285859575401
316,0.666813653890872
317,0.6737289423425451
318,0.647498433476471
319,0.7081000028420716
320,0.6911855722955449
321,0.6329364074410995
322,0.691791946352485
323,0.6553726418788268
324,0.6780730926834541
325,0.6778606579944191
326,0.6717532366748057
327,0.723849413961563
328,0.6728318235892039
329,0.6930636667094957
330,0.7251664999572291
331,0.6803704799054185
332,0.6652462783112258
333,0.6683591183712814
334,0.6994761568318119
335,0.6638041114183156
336,0.6566940235991997
337,0.6542818974482709
338,0.6744601340968331
339,0.6697849516782465
340,0.6763555359050775
341,0.6294030593983291
342,0.6439502024789093
343,0.7263985039376035
344,0.6782977914843934
345,0.6686588260255738
346,0.7051190586669505
347,0.6611981765751856
348,0.693800775077069
349,0.7279011922537174
350,0.6829160200418135
351,0.6698513922830612
