,autocorr_run
0,0.7744496738308306
1,0.7731510178871989
2,0.7505013606971696
3,0.7710163673979004
4,0.804432761584668
5,0.8834565982035991
6,1.0
7,0.9713218790235872
8,0.976598413433875
9,0.9936831738712969
10,0.9548135142809412
11,0.9224993513962031
12,0.9233635609981111
13,0.8945596390816447
14,0.8818055974747694
15,0.8586659044202345
16,0.8918549640815724
17,0.9060220964639255
18,0.9493372831800331
19,0.9564765513346148
20,0.9417564923410158
21,0.9060113348312376
22,0.9145207723178811
23,0.894239449725075
24,0.8867550574203411
25,0.9034705107733897
26,0.8902800737256569
27,0.9130808616419719
28,0.897702344768551
29,0.9296380118665081
30,0.8805979040706957
31,0.908663510823761
32,0.8918391037298734
33,0.8934547804419656
34,0.9365555006385461
35,0.8787330623488082
36,0.9086726406109822
37,0.8814709229251814
38,0.8804703385596765
39,0.8751444414460632
40,0.8955952566993778
41,0.8938747199891586
42,0.8921752387702652
43,0.9057620161894423
44,0.8934815854945879
45,0.8861640999918206
46,0.8756292846147635
47,0.8947557134929899
48,0.8770926122376337
49,0.8694448769283397
50,0.8875109826135809
51,0.8712182239132981
52,0.8848544213466117
53,0.8765997316728591
54,0.8904020841209941
55,0.8663923286590114
56,0.8803529136091972
57,0.8664804380680029
58,0.8739827360997489
59,0.8735690523026989
60,0.8794867028438005
61,0.8730139655050635
62,0.8547765598636703
63,0.8545637529220377
64,0.8787288328162898
65,0.8514928650399188
66,0.8640612118323325
67,0.8676844951821437
68,0.8735368608308696
69,0.8619257074376782
70,0.8509126156925899
71,0.8660928148656017
72,0.8510284795685091
73,0.8681204641386138
74,0.8489423973429283
75,0.8476220491485644
76,0.8433856113905858
77,0.8480804707626712
78,0.8498913688179041
79,0.8549976695351272
80,0.8659780385203895
81,0.8540909207173568
82,0.8532657072509496
83,0.8472373412728996
84,0.8425984897665676
85,0.8331377556814019
86,0.8314009973706578
87,0.8470753028727754
88,0.8456980989660019
89,0.8349495921346712
90,0.8477677640466154
91,0.8295974118445425
92,0.853836462570144
93,0.8584444598268633
94,0.8345386932382426
95,0.8328187816483689
96,0.8300040434413467
97,0.8282626196745936
