,x,y
0,0.0,90.71695756014344
1,4.666666666666667,91.57231932775278
2,9.333333333333334,92.4276810953621
3,14.0,93.28304286297144
4,18.666666666666668,94.13840463058078
5,23.333333333333336,94.9937663981901
6,28.0,95.84912816579944
7,32.66666666666667,96.70448993340877
8,37.333333333333336,97.5598517010181
9,42.0,98.41521346862744
10,46.66666666666667,99.27057523623677
11,51.333333333333336,100.1259370038461
12,56.0,100.98129877145544
13,60.66666666666667,101.83666053906477
14,65.33333333333334,102.6920223066741
15,70.0,103.54738407428343
16,74.66666666666667,104.40274584189277
17,79.33333333333334,105.2581076095021
18,84.0,106.11346937711143
19,88.66666666666667,106.96883114472077
20,93.33333333333334,107.8241929123301
21,98.0,108.67955467993943
22,102.66666666666667,109.53491644754877
23,107.33333333333334,110.3902782151581
24,112.0,111.24563998276743
25,116.66666666666667,112.10100175037677
26,121.33333333333334,112.95636351798609
27,126.00000000000001,113.81172528559543
28,130.66666666666669,114.66708705320477
29,135.33333333333334,115.52244882081409
30,140.0,116.37781058842343
31,144.66666666666669,117.23317235603277
32,149.33333333333334,118.08853412364209
33,154.0,118.94389589125143
34,158.66666666666669,119.79925765886077
35,163.33333333333334,120.65461942647009
36,168.0,121.50998119407942
37,172.66666666666669,122.36534296168875
38,177.33333333333334,123.22070472929809
39,182.0,124.07606649690743
40,186.66666666666669,124.93142826451677
41,191.33333333333334,125.78679003212609
42,196.0,126.64215179973542
43,200.66666666666669,127.49751356734475
44,205.33333333333334,128.3528753349541
45,210.0,129.20823710256343
46,214.66666666666669,130.06359887017277
47,219.33333333333334,130.91896063778208
48,224.0,131.77432240539142
49,228.66666666666669,132.62968417300075
50,233.33333333333334,133.4850459406101
51,238.00000000000003,134.34040770821943
52,242.66666666666669,135.19576947582874
53,247.33333333333334,136.05113124343808
54,252.00000000000003,136.90649301104742
55,256.6666666666667,137.76185477865675
56,261.33333333333337,138.6172165462661
57,266.0,139.4725783138754
58,270.6666666666667,140.32794008148474
59,275.33333333333337,141.18330184909408
60,280.0,142.03866361670342
61,284.6666666666667,142.89402538431276
62,289.33333333333337,143.7493871519221
63,294.0,144.6047489195314
64,298.6666666666667,145.46011068714074
65,303.33333333333337,146.31547245475008
66,308.0,147.17083422235942
67,312.6666666666667,148.02619598996876
68,317.33333333333337,148.8815577575781
69,322.0,149.7369195251874
70,326.6666666666667,150.59228129279674
71,331.33333333333337,151.44764306040608
72,336.0,152.3030048280154
73,340.6666666666667,153.15836659562473
74,345.33333333333337,154.01372836323407
75,350.0,154.8690901308434
76,354.6666666666667,155.72445189845274
77,359.33333333333337,156.57981366606208
78,364.0,157.43517543367142
79,368.6666666666667,158.29053720128076
80,373.33333333333337,159.1458989688901
81,378.0,160.0012607364994
82,382.6666666666667,160.85662250410874
83,387.33333333333337,161.71198427171805
84,392.0,162.5673460393274
85,396.6666666666667,163.42270780693673
86,401.33333333333337,164.27806957454607
87,406.0,165.1334313421554
88,410.6666666666667,165.98879310976474
89,415.33333333333337,166.84415487737408
90,420.0,167.6995166449834
91,424.6666666666667,168.55487841259273
92,429.33333333333337,169.41024018020207
93,434.0,170.26560194781138
94,438.6666666666667,171.12096371542071
95,443.33333333333337,171.97632548303005
96,448.0,172.8316872506394
97,452.6666666666667,173.68704901824873
98,457.33333333333337,174.54241078585807
99,462.0,175.3977725534674
